impl,fc,m,n,k,groups,ktile,best_ms,best_us,gflops,config,log
int4_fp8,FC2,12,4096,512,128,256,0.200488000,200.488000,32133.800000,"KernelPtrArrayTmaWarpSpecializedCooperative Shape<_1,_1,_1> Shape<_128, _16, _256> Stages=10",.claude/optimization-logs/2026-05-21-cmx-four-impl-best-configs-231136/int4_fp8_FC2_m12_n4096_k512_g128_k256.log
int4_fp8,FC2,12,4096,512,128,512,0.210518000,210.518000,30602.900000,"KernelPtrArrayTmaWarpSpecializedCooperative Shape<_1,_1,_1> Shape<_128, _16, _512> Stages=5",.claude/optimization-logs/2026-05-21-cmx-four-impl-best-configs-231136/int4_fp8_FC2_m12_n4096_k512_g128_k512.log
int4_fp8,FC2,18,4096,512,128,128,0.213935000,213.935000,45171.000000,"KernelPtrArrayTmaWarpSpecializedCooperative Shape<_1,_1,_1> Shape<_128, _32, _128> Stages=15",.claude/optimization-logs/2026-05-21-cmx-four-impl-best-configs-231136/int4_fp8_FC2_m18_n4096_k512_g128_k128.log
int4_fp8,FC2,18,4096,512,128,256,0.221301000,221.301000,43667.600000,"KernelPtrArrayTmaWarpSpecializedCooperative Shape<_1,_1,_1> Shape<_128, _32, _256> Stages=8",.claude/optimization-logs/2026-05-21-cmx-four-impl-best-configs-231136/int4_fp8_FC2_m18_n4096_k512_g128_k256.log
int4_fp8,FC2,18,4096,512,128,512,0.225975000,225.975000,42764.400000,"KernelPtrArrayTmaWarpSpecializedCooperative Shape<_2,_1,_1> Shape<_128, _32, _512> Stages=4",.claude/optimization-logs/2026-05-21-cmx-four-impl-best-configs-231136/int4_fp8_FC2_m18_n4096_k512_g128_k512.log
int4_fp8,FC2,22,4096,512,128,128,0.214904000,214.904000,54960.200000,"KernelPtrArrayTmaWarpSpecializedCooperative Shape<_1,_1,_1> Shape<_128, _32, _128> Stages=15",.claude/optimization-logs/2026-05-21-cmx-four-impl-best-configs-231136/int4_fp8_FC2_m22_n4096_k512_g128_k128.log
int4_fp8,FC2,22,4096,512,128,256,0.222774000,222.774000,53018.500000,"KernelPtrArrayTmaWarpSpecializedCooperative Shape<_1,_1,_1> Shape<_128, _32, _256> Stages=8",.claude/optimization-logs/2026-05-21-cmx-four-impl-best-configs-231136/int4_fp8_FC2_m22_n4096_k512_g128_k256.log
int4_fp8,FC2,22,4096,512,128,512,0.225953000,225.953000,52272.600000,"KernelPtrArrayTmaWarpSpecializedCooperative Shape<_1,_1,_1> Shape<_128, _32, _512> Stages=4",.claude/optimization-logs/2026-05-21-cmx-four-impl-best-configs-231136/int4_fp8_FC2_m22_n4096_k512_g128_k512.log
mxfp4_bf16,FC1,1,1024,4096,128,128,0.274153000,274.153000,3916.580000,"KernelPtrArrayTmaWarpSpecializedCooperative Shape<_1,_1,_1> Shape<_128, _16, _128> Stages=16",.claude/optimization-logs/2026-05-21-cmx-four-impl-best-configs-231136/mxfp4_bf16_FC1_m1_n1024_k4096_g128_k128.log
mxfp4_bf16,FC1,1,1024,4096,128,256,0.259320000,259.320000,4140.610000,"KernelPtrArrayTmaWarpSpecializedCooperative Shape<_1,_1,_1> Shape<_128, _16, _256> Stages=8",.claude/optimization-logs/2026-05-21-cmx-four-impl-best-configs-231136/mxfp4_bf16_FC1_m1_n1024_k4096_g128_k256.log
mxfp4_bf16,FC1,1,1024,4096,128,512,0.254338000,254.338000,4221.710000,"KernelPtrArrayTmaWarpSpecializedCooperative Shape<_1,_1,_1> Shape<_128, _16, _512> Stages=4",.claude/optimization-logs/2026-05-21-cmx-four-impl-best-configs-231136/mxfp4_bf16_FC1_m1_n1024_k4096_g128_k512.log
mxfp4_bf16,FC1,2,1024,4096,128,128,0.273945000,273.945000,7839.120000,"KernelPtrArrayTmaWarpSpecializedCooperative Shape<_1,_1,_1> Shape<_128, _16, _128> Stages=16",.claude/optimization-logs/2026-05-21-cmx-four-impl-best-configs-231136/mxfp4_bf16_FC1_m2_n1024_k4096_g128_k128.log
mxfp4_bf16,FC1,2,1024,4096,128,256,0.259844000,259.844000,8264.530000,"KernelPtrArrayTmaWarpSpecializedCooperative Shape<_1,_1,_1> Shape<_128, _16, _256> Stages=8",.claude/optimization-logs/2026-05-21-cmx-four-impl-best-configs-231136/mxfp4_bf16_FC1_m2_n1024_k4096_g128_k256.log
mxfp4_bf16,FC1,2,1024,4096,128,512,0.254297000,254.297000,8444.790000,"KernelPtrArrayTmaWarpSpecializedCooperative Shape<_1,_1,_1> Shape<_128, _16, _512> Stages=4",.claude/optimization-logs/2026-05-21-cmx-four-impl-best-configs-231136/mxfp4_bf16_FC1_m2_n1024_k4096_g128_k512.log
mxfp4_bf16,FC1,4,1024,4096,128,128,0.274297000,274.297000,15658.100000,"KernelPtrArrayTmaWarpSpecializedCooperative Shape<_1,_1,_1> Shape<_128, _16, _128> Stages=16",.claude/optimization-logs/2026-05-21-cmx-four-impl-best-configs-231136/mxfp4_bf16_FC1_m4_n1024_k4096_g128_k128.log
mxfp4_bf16,FC1,4,1024,4096,128,256,0.259654000,259.654000,16541.100000,"KernelPtrArrayTmaWarpSpecializedCooperative Shape<_1,_1,_1> Shape<_128, _16, _256> Stages=8",.claude/optimization-logs/2026-05-21-cmx-four-impl-best-configs-231136/mxfp4_bf16_FC1_m4_n1024_k4096_g128_k256.log
mxfp4_bf16,FC1,4,1024,4096,128,512,0.252951000,252.951000,16979.400000,"KernelPtrArrayTmaWarpSpecializedCooperative Shape<_1,_1,_1> Shape<_128, _16, _512> Stages=4",.claude/optimization-logs/2026-05-21-cmx-four-impl-best-configs-231136/mxfp4_bf16_FC1_m4_n1024_k4096_g128_k512.log
mxfp4_bf16,FC1,8,1024,4096,128,128,0.274873000,274.873000,31250.500000,"KernelPtrArrayTmaWarpSpecializedCooperative Shape<_1,_1,_1> Shape<_128, _16, _128> Stages=16",.claude/optimization-logs/2026-05-21-cmx-four-impl-best-configs-231136/mxfp4_bf16_FC1_m8_n1024_k4096_g128_k128.log
mxfp4_bf16,FC1,8,1024,4096,128,256,0.260363000,260.363000,32992.100000,"KernelPtrArrayTmaWarpSpecializedCooperative Shape<_1,_1,_1> Shape<_128, _16, _256> Stages=8",.claude/optimization-logs/2026-05-21-cmx-four-impl-best-configs-231136/mxfp4_bf16_FC1_m8_n1024_k4096_g128_k256.log
mxfp4_bf16,FC1,8,1024,4096,128,512,0.255508000,255.508000,33619.100000,"KernelPtrArrayTmaWarpSpecializedCooperative Shape<_1,_1,_1> Shape<_128, _16, _512> Stages=4",.claude/optimization-logs/2026-05-21-cmx-four-impl-best-configs-231136/mxfp4_bf16_FC1_m8_n1024_k4096_g128_k512.log
mxfp4_bf16,FC1,12,1024,4096,128,128,0.274790000,274.790000,46889.900000,"KernelPtrArrayTmaWarpSpecializedCooperative Shape<_1,_1,_1> Shape<_128, _16, _128> Stages=16",.claude/optimization-logs/2026-05-21-cmx-four-impl-best-configs-231136/mxfp4_bf16_FC1_m12_n1024_k4096_g128_k128.log
mxfp4_bf16,FC1,12,1024,4096,128,256,0.260344000,260.344000,49491.800000,"KernelPtrArrayTmaWarpSpecializedCooperative Shape<_1,_1,_1> Shape<_128, _16, _256> Stages=8",.claude/optimization-logs/2026-05-21-cmx-four-impl-best-configs-231136/mxfp4_bf16_FC1_m12_n1024_k4096_g128_k256.log
mxfp4_bf16,FC1,12,1024,4096,128,512,0.253802000,253.802000,50767.500000,"KernelPtrArrayTmaWarpSpecializedCooperative Shape<_1,_1,_1> Shape<_128, _16, _512> Stages=4",.claude/optimization-logs/2026-05-21-cmx-four-impl-best-configs-231136/mxfp4_bf16_FC1_m12_n1024_k4096_g128_k512.log
mxfp4_bf16,FC1,18,1024,4096,128,128,0.380510000,380.510000,50793.300000,"KernelPtrArrayTmaWarpSpecializedCooperative Shape<_1,_1,_1> Shape<_128, _32, _128> Stages=12",.claude/optimization-logs/2026-05-21-cmx-four-impl-best-configs-231136/mxfp4_bf16_FC1_m18_n1024_k4096_g128_k128.log
